Time,AvgFPS,1%low
7.746179,0,0
7.754538,0,0
7.76284,0,0
7.772373,0,0
7.781184,0,0
7.791209,0,0
7.799787,0,0
7.809679,0,0
7.81869,0,0
7.828164,0,0
7.837103,0,0
7.84547,0,0
7.854899,0,0
7.864892,0,0
7.873518,0,0
7.88127,0,0
7.889647,0,0
7.897835,0,0
7.90555,0,0
7.915213,0,0
7.923969,0,0
7.932785,0,0
7.941537,0,0
7.94986,0,0
7.958049,0,0
7.966367,0,0
7.975073,0,0
7.984262,0,0
7.993065,0,0
8.002189,0,0
8.010888,0,0
8.018631,0,0
8.026918,0,0
8.035845,0,0
8.043724,0,0
8.052223,0,0
8.06063,0,0
8.069444,0,0
8.077579,0,0
8.085772,0,0
8.094758,0,0
8.102884,0,0
8.111576,0,0
8.119279,0,0
8.12752,0,0
8.136581,0,0
8.144728,0,0
8.153496,0,0
8.162056,0,0
8.170626,0,0
8.178679,0,0
8.188197,0,0
8.197903,0,0
8.206002,0,0
8.215399,0,0
8.22329,0,0
8.232478,0,0
8.241497,0,0
8.25216,0,0
8.261106,0,0
8.269895,0,0
8.278043,0,0
8.285879,0,0
8.294813,0,0
8.303661,0,0
8.312781,0,0
8.323828,0,0
8.334995,0,0
8.343421,0,0
8.352867,0,0
8.360636,0,0
8.370223,0,0
8.3781,0,0
8.387252,0,0
8.396375,0,0
8.405702,0,0
8.414885,0,0
8.42342,0,0
8.433167,0,0
8.441852,0,0
8.45118,0,0
8.459532,0,0
8.469483,0,0
8.478541,0,0
8.487193,0,0
8.496316,0,0
8.504553,0,0
8.513676,0,0
8.522076,0,0
8.532358,0,0
8.540368,0,0
8.550066,0,0
8.558376,0,0
8.56707,0,0
8.57635,0,0
8.584955,0,0
8.59605,0,0
8.604216,0,0
8.613304,0,0
8.622725,0,0
8.632397,0,0
8.641469,0,0
8.64991,0,0
8.658082,0,0
8.667631,0,0
8.679529,0,0
8.691609,0,0
8.703156,0,0
8.714585,0,0
8.725632,0,0
8.736892,0,0
8.746971,0,0
8.757996,0,0
8.767801,0,0
8.78152,0,0
8.793777,0,0
8.805139,0,0
8.815653,0,0
8.824834,0,0
8.836471,0,0
8.846589,0,0
8.856073,0,0
8.866317,0,0
8.875895,0,0
8.885006,0,0
8.894606,0,0
8.902763,0,0
8.911567,0,0
8.920665,0,0
8.929027,0,0
8.937021,0,0
8.944709,0,0
8.953711,0,0
8.962088,0,0
8.971019,0,0
8.981088,0,0
8.988899,0,0
8.997576,0,0
9.005784,0,0
9.015599,0,0
9.024101,0,0
9.033891,0,0
9.041886,0,0
9.051032,0,0
9.059003,0,0
9.066898,0,0
9.075028,0,0
9.082517,0,0
9.09161,0,0
9.099542,0,0
9.109674,0,0
9.11811,0,0
9.126145,0,0
9.134283,0,0
9.142029,0,0
9.150646,0,0
